This file was created by CMPT_ME_BEME_RETS_WEEKLY using the 202007 CRSP database.
The Tbill return is the weekly rate that, over four weeks, 
compounds to 1-month TBill rate from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RF
19270409,    1.83,   -0.58,    1.92,   0.064
19270416,    0.36,    1.71,   -1.73,   0.064
19270423,    0.47,   -0.90,    1.21,   0.064
19270430,   -2.01,    0.58,   -0.82,   0.064
19270507,    2.69,    0.59,    0.01,   0.075
19270514,    0.40,   -0.24,    0.64,   0.075
19270521,    1.10,   -0.77,    0.24,   0.075
19270528,    0.84,    2.43,    3.06,   0.075
19270604,    0.19,   -0.32,    0.39,   0.065
19270611,    0.03,    0.55,    0.04,   0.065
19270618,    0.01,    0.69,    1.12,   0.065
19270625,   -1.38,   -0.43,   -1.06,   0.065
19270702,    0.17,   -0.32,    0.02,   0.075
19270709,    1.17,   -0.30,    0.08,   0.075
19270716,    1.84,   -0.91,   -0.08,   0.075
19270723,    0.96,    0.16,   -0.96,   0.075
19270730,    1.82,   -2.53,    0.11,   0.075
19270806,    0.73,    0.13,   -1.56,   0.069
19270813,   -1.62,   -0.75,   -1.38,   0.069
19270820,    2.73,    0.30,    0.54,   0.069
19270827,    0.73,   -0.22,   -1.11,   0.069
19270903,    1.34,   -0.44,   -0.79,   0.052
19270910,    1.16,   -1.12,    0.18,   0.052
19270917,    1.27,   -0.75,   -0.86,   0.052
19270924,    0.08,   -0.40,   -0.11,   0.052
19271001,    0.82,   -0.92,    0.85,   0.063
19271008,   -1.25,    0.38,   -1.01,   0.063
19271015,    0.22,    1.17,   -1.20,   0.063
19271022,   -4.13,    0.34,   -0.35,   0.063
19271029,   -0.37,    0.31,   -2.24,   0.063
19271105,    3.44,   -0.43,   -0.10,   0.052
19271112,    1.33,    0.51,   -1.49,   0.052
19271119,    1.62,    1.49,    1.03,   0.052
19271126,    0.36,    0.75,    0.71,   0.052
19271203,    0.49,   -0.62,    0.99,   0.056
19271210,   -0.63,    1.40,   -1.11,   0.056
19271217,    1.82,    0.34,   -0.52,   0.056
19271224,    0.53,   -0.90,    0.92,   0.056
19271231,    0.33,    1.46,   -1.59,   0.056
19280107,    0.28,    1.82,    0.42,   0.063
19280114,   -1.16,    0.43,    0.29,   0.063
19280121,    0.31,    0.32,   -0.68,   0.063
19280128,    0.12,    1.49,   -1.13,   0.063
19280204,   -1.02,   -0.07,   -0.74,   0.082
19280211,    0.36,   -0.52,   -0.74,   0.082
19280218,   -3.09,   -1.88,   -0.75,   0.082
19280225,    1.57,    0.09,    1.59,   0.082
19280303,    1.25,    0.30,   -1.58,   0.073
19280310,    2.00,   -0.64,   -0.06,   0.073
19280317,    2.09,   -1.18,    1.48,   0.073
19280324,    1.87,    0.45,   -1.52,   0.073
19280331,    1.74,    1.00,    0.64,   0.073
19280405,    0.77,    1.08,    0.66,   0.056
19280414,    1.74,    2.11,   -0.16,   0.056
19280420,   -0.91,    0.42,    0.66,   0.056
19280428,    2.55,   -0.42,    3.06,   0.056
19280504,    1.96,    0.35,   -1.50,   0.081
19280511,    0.76,    0.74,   -1.08,   0.081
19280518,   -1.34,    1.17,   -0.29,   0.081
19280525,   -0.17,    0.77,   -0.59,   0.081
19280602,    1.28,   -0.01,   -0.51,   0.078
19280609,   -5.57,   -0.30,   -1.97,   0.078
19280616,   -1.93,   -3.43,    1.87,   0.078
19280623,   -1.81,   -0.41,    0.71,   0.078
19280630,    3.57,   -0.19,    0.17,   0.078
19280707,    1.26,   -0.11,    0.54,   0.081
19280714,   -2.57,   -0.12,   -0.50,   0.081
19280721,   -0.19,   -0.12,    0.00,   0.081
19280728,    2.37,   -0.85,   -0.54,   0.081
19280804,   -0.01,    0.03,    0.39,   0.080
19280811,   -0.73,    0.15,   -0.26,   0.080
19280818,    2.03,   -0.60,    0.24,   0.080
19280825,    3.03,   -0.82,   -1.44,   0.080
19280901,    2.23,   -0.72,   -0.84,   0.067
19280908,    0.76,    0.71,    0.17,   0.067
19280915,    1.22,   -0.11,    1.25,   0.067
19280922,    0.37,    1.77,    0.66,   0.067
19280929,    0.22,   -0.25,   -1.16,   0.067
19281006,   -0.92,    2.15,    0.25,   0.102
19281013,    1.56,    0.89,   -2.75,   0.102
19281020,    1.28,   -0.06,    0.05,   0.102
19281027,    0.20,    0.01,    0.50,   0.102
19281103,    0.35,   -1.18,   -0.47,   0.096
19281110,    3.60,   -0.66,    1.93,   0.096
19281117,    2.80,   -0.77,   -0.98,   0.096
19281123,    1.38,   -0.72,    2.16,   0.096
19281201,    1.69,    0.95,    0.45,   0.015
19281208,   -8.67,    0.57,   -1.59,   0.015
19281215,    2.65,    0.40,    1.46,   0.015
19281222,    3.50,   -0.85,   -1.09,   0.015
19281229,    2.78,   -0.83,   -0.30,   0.015
19290105,    2.00,    0.20,    0.45,   0.086
19290112,   -0.40,    0.46,    0.52,   0.086
19290119,    1.10,   -0.59,    0.92,   0.086
19290126,    1.98,   -2.26,   -2.87,   0.086
19290202,    1.74,   -1.77,    1.81,   0.089
19290208,   -4.90,    0.04,    0.23,   0.089
19290216,   -1.40,   -0.76,    0.07,   0.089
19290221,    2.91,    0.45,   -0.05,   0.089
19290302,    3.51,   -0.36,    0.91,   0.086
19290309,   -1.83,   -1.19,    0.76,   0.086
19290316,    2.81,   -0.84,   -0.37,   0.086
19290323,   -2.93,   -0.54,   -0.47,   0.086
19290328,    0.46,   -2.07,    0.67,   0.086
19290406,   -1.63,    0.13,    0.41,   0.089
19290413,    0.27,   -0.34,   -0.77,   0.089
19290420,    1.02,    0.36,   -1.39,   0.089
19290427,    0.89,   -0.04,    0.61,   0.089
19290504,    2.42,   -1.36,    1.02,   0.110
19290511,   -0.84,   -0.09,   -0.07,   0.110
19290518,   -1.19,   -1.14,   -1.38,   0.110
19290525,   -4.39,   -1.05,   -0.49,   0.110
19290601,   -0.91,   -2.90,    1.54,   0.130
19290608,    1.82,    0.12,    0.20,   0.130
19290615,    1.73,   -0.15,    0.58,   0.130
19290622,    2.15,   -0.84,   -0.32,   0.130
19290629,    2.99,   -1.48,   -3.13,   0.130
19290706,    2.44,   -0.91,   -0.34,   0.084
19290713,    1.42,   -0.51,    1.84,   0.084
19290720,    0.64,   -1.33,    1.77,   0.084
19290727,   -0.92,   -0.98,   -1.04,   0.084
19290803,    3.07,   -2.39,   -0.45,   0.101
19290810,   -3.28,   -1.25,    1.98,   0.101
19290817,    4.72,   -1.64,    0.55,   0.101
19290824,    2.46,   -3.16,   -1.48,   0.101
19290830,    1.76,   -0.92,   -0.20,   0.101
19290907,    0.24,   -0.86,   -1.05,   0.088
19290914,   -1.66,    1.54,   -0.10,   0.088
19290921,   -0.11,    0.22,   -0.38,   0.088
19290928,   -3.15,   -0.14,    0.72,   0.088
19291005,   -1.88,   -0.83,   -0.09,   0.114
19291011,    2.77,    0.16,    0.66,   0.114
19291019,   -8.13,    1.53,    2.64,   0.114
19291026,   -7.70,   -3.07,    2.70,   0.114
19291031,   -7.16,   -1.91,    2.72,   0.114
19291108,  -11.74,    1.68,    3.67,   0.094
19291115,   -3.99,   -2.52,   -0.08,   0.094
19291122,    5.63,   -0.19,    0.50,   0.094
19291127,   -2.45,    0.26,    1.40,   0.094
19291207,    7.51,   -1.36,   -2.07,   0.091
19291214,   -3.02,   -0.09,    1.61,   0.091
19291221,   -6.32,   -1.30,    1.81,   0.091
19291228,    0.14,   -1.48,   -0.37,   0.091
19300104,    3.85,    1.20,   -1.83,   0.035
19300111,   -0.27,    2.02,    0.89,   0.035
19300118,   -0.48,   -1.42,    1.12,   0.035
19300125,    3.35,    0.99,   -0.46,   0.035
19300201,    3.22,   -0.16,   -3.15,   0.074
19300208,    0.94,   -0.33,    1.18,   0.074
19300215,   -0.10,    1.02,    1.05,   0.074
19300221,   -0.72,   -0.21,   -0.06,   0.074
19300301,    2.14,    0.39,   -1.66,   0.087
19300308,    0.69,    1.28,   -0.66,   0.087
19300315,   -0.95,    1.36,    1.50,   0.087
19300322,    2.79,   -0.03,    0.49,   0.087
19300329,    3.54,   -0.16,   -0.62,   0.087
19300405,    1.91,   -0.10,   -1.95,   0.053
19300412,    0.30,    0.14,   -0.86,   0.053
19300417,   -0.51,    0.83,   -0.95,   0.053
19300426,   -1.68,   -0.62,    2.49,   0.053
19300503,   -9.09,   -0.67,    2.47,   0.064
19300510,    4.65,   -1.19,   -2.93,   0.064
19300517,    0.86,    0.53,    1.48,   0.064
19300524,   -0.35,   -0.85,   -0.57,   0.064
19300529,    1.01,   -0.18,   -1.04,   0.064
19300607,   -5.29,   -0.18,    2.02,   0.067
19300614,   -5.55,   -1.30,    0.35,   0.067
19300621,   -9.00,   -2.77,    2.43,   0.067
19300628,    0.41,    0.35,   -1.99,   0.067
19300703,    1.69,    0.53,    1.75,   0.050
19300712,    2.76,   -2.21,   -0.51,   0.050
19300719,    3.57,    2.01,    0.85,   0.050
19300726,    0.64,   -1.43,   -1.74,   0.050
19300802,   -2.21,    0.53,   -0.72,   0.022
19300809,   -4.82,    0.18,   -0.99,   0.022
19300816,    1.97,   -1.65,    1.02,   0.022
19300823,    0.96,   -0.07,   -1.51,   0.022
19300829,    2.20,   -1.02,    0.42,   0.022
19300906,    1.00,   -0.03,    0.65,   0.055
19300913,   -0.61,    1.40,   -0.56,   0.055
19300920,   -3.23,   -0.13,   -1.23,   0.055
19300927,   -7.06,   -1.73,   -2.70,   0.055
19301004,   -0.48,   -0.05,   -1.62,   0.022
19301011,   -8.00,   -1.12,    0.87,   0.022
19301018,   -3.54,   -0.97,   -1.80,   0.022
19301025,    3.14,   -0.41,   -0.36,   0.022
19301101,   -3.07,   -0.27,   -0.58,   0.033
19301108,   -6.69,    1.68,   -2.04,   0.033
19301115,    6.59,    0.32,   -2.41,   0.033
19301122,   -0.09,    0.53,    3.16,   0.033
19301129,   -2.57,    0.85,   -1.27,   0.033
19301206,   -1.90,   -0.13,   -2.17,   0.035
19301213,   -7.62,   -1.35,   -3.01,   0.035
19301220,    2.61,   -2.71,    0.09,   0.035
19301227,   -4.11,    0.67,   -4.07,   0.035
19310103,    8.96,   -2.01,    6.47,   0.036
19310110,    1.29,    2.19,    6.58,   0.036
19310117,   -3.39,    1.29,   -1.38,   0.036
19310124,    4.12,   -1.02,    0.20,   0.036
19310131,   -0.99,    0.87,   -0.65,   0.036
19310207,    2.21,    0.38,   -0.64,   0.010
19310214,    4.10,    0.60,    0.11,   0.010
19310221,    4.38,    1.93,    0.25,   0.010
19310228,   -0.12,   -0.09,    1.77,   0.010
19310307,   -1.75,    0.18,   -1.38,   0.032
19310314,   -0.60,    0.65,   -0.91,   0.032
19310321,    1.85,    1.62,    0.35,   0.032
19310328,   -4.99,    0.69,   -0.62,   0.032
19310404,   -1.16,   -0.13,   -0.80,   0.019
19310411,   -1.09,    0.27,   -0.57,   0.019
19310418,   -3.54,   -0.92,   -1.08,   0.019
19310425,   -5.79,    0.57,   -3.79,   0.019
19310502,   -1.10,   -2.83,    0.15,   0.022
19310509,    2.42,    0.58,   -1.25,   0.022
19310516,   -5.10,    2.35,   -2.10,   0.022
19310523,   -3.83,   -0.58,    0.12,   0.022
19310529,   -5.85,    1.21,   -2.30,   0.022
19310606,    1.05,   -0.36,    3.54,   0.019
19310613,    4.48,   -5.10,    4.67,   0.019
19310620,    1.64,   -0.33,   -0.27,   0.019
19310627,   10.53,   -0.03,    4.29,   0.019
19310703,   -1.33,    0.42,   -1.61,   0.015
19310711,   -5.16,    2.52,   -2.36,   0.015
19310718,   -0.83,   -1.15,   -0.83,   0.015
19310725,   -2.11,    1.50,    1.02,   0.015
19310801,   -0.52,   -0.48,   -0.71,   0.009
19310808,   -1.83,    0.91,   -3.25,   0.009
19310815,    5.71,   -3.41,    1.96,   0.009
19310822,   -4.10,    1.47,    0.99,   0.009
19310829,    1.60,   -1.92,   -0.45,   0.009
19310904,   -5.33,    3.69,   -5.17,   0.006
19310912,   -6.21,    1.44,   -1.31,   0.006
19310919,  -10.93,   -0.12,   -5.89,   0.006
19310926,   -2.85,   -3.35,    5.66,   0.006
19311003,  -11.99,    0.02,   -2.47,   0.026
19311010,   12.71,   -2.76,    4.48,   0.026
19311017,   -2.22,   -0.03,   -0.78,   0.026
19311024,    4.61,   -0.13,   -0.73,   0.026
19311031,   -3.18,    0.31,    1.62,   0.026
19311107,    7.57,   -0.14,    2.38,   0.042
19311114,   -6.30,    4.08,   -2.69,   0.042
19311121,   -6.91,    2.01,   -1.24,   0.042
19311128,   -6.26,    2.36,   -3.17,   0.042
19311205,    1.74,   -6.08,   -1.57,   0.031
19311212,  -11.20,    2.11,   -5.91,   0.031
19311219,    1.71,   -1.81,   -0.76,   0.031
19311224,   -4.70,    2.25,   -4.40,   0.031
19320102,   -1.56,    2.03,    4.82,   0.058
19320109,    7.21,   -3.76,    9.73,   0.058
19320116,    4.09,   -1.22,    2.69,   0.058
19320123,   -5.62,    1.94,   -1.00,   0.058
19320130,   -3.13,    3.89,   -1.99,   0.058
19320206,   -2.34,    0.26,    0.12,   0.057
19320213,   13.39,   -9.16,    0.85,   0.057
19320220,   -2.36,    3.83,   -1.87,   0.057
19320227,   -2.24,    0.81,   -0.39,   0.057
19320305,    6.61,   -2.59,    1.20,   0.041
19320312,   -3.45,    1.56,    0.94,   0.041
19320319,   -6.70,    2.87,   -2.16,   0.041
19320326,   -4.38,    1.87,   -0.94,   0.041
19320402,   -5.98,    1.31,   -3.67,   0.029
19320409,   -9.57,    1.00,   -1.48,   0.029
19320416,   -0.06,   -2.73,    4.69,   0.029
19320423,   -4.31,   -0.08,    1.60,   0.029
19320430,   -2.79,    1.34,    0.29,   0.029
19320507,    2.53,   -2.27,    1.32,   0.015
19320514,   -7.45,    5.52,   -2.19,   0.015
19320521,   -0.08,   -2.83,   -0.32,   0.015
19320528,  -10.11,    0.90,   -2.05,   0.015
19320604,    6.34,   -6.12,    5.34,   0.005
19320611,   -5.31,    5.75,   -0.96,   0.005
19320618,    0.03,   -0.66,    4.31,   0.005
19320625,   -4.72,    4.52,   -2.50,   0.005
19320701,   -0.93,   -1.32,    0.60,   0.006
19320709,   -2.41,    2.45,    3.95,   0.006
19320716,    9.76,   -3.95,    6.92,   0.006
19320723,    5.50,   -1.63,    8.56,   0.006
19320730,   15.38,    0.75,    9.68,   0.006
19320806,   17.04,   -7.35,    1.66,   0.008
19320813,   -1.96,    8.69,    6.20,   0.008
19320820,    7.75,   -0.32,    2.68,   0.008
19320827,   13.46,    6.12,   13.79,   0.008
19320903,    5.27,    4.14,   -0.12,   0.008
19320910,   -3.19,    0.14,   -2.01,   0.008
19320917,  -12.82,   -0.75,   -5.68,   0.008
19320924,   12.50,   -1.91,    2.81,   0.008
19321001,   -4.12,   -1.96,   -0.73,   0.004
19321008,  -15.62,    2.56,  -11.92,   0.004
19321015,    5.62,   -2.92,    3.52,   0.004
19321022,   -4.89,   -0.50,   -0.86,   0.004
19321029,    2.40,   -2.70,   -1.05,   0.004
19321105,   -1.79,   -0.21,   -5.09,   0.005
19321112,   10.03,    1.46,    2.59,   0.005
19321119,   -5.24,    0.52,   -6.03,   0.005
19321126,   -5.58,    0.37,   -0.86,   0.005
19321203,   -4.50,    0.24,   -8.14,   0.003
19321210,    7.58,   -5.88,    0.97,   0.003
19321217,   -0.33,   -1.15,   -3.74,   0.003
19321224,   -4.95,   -0.94,   -5.02,   0.003
19321231,    3.62,   -1.02,    4.99,   0.003
19330106,    4.75,    1.33,    6.46,   0.003
19330114,   -0.11,   -0.67,    0.93,   0.003
19330121,   -1.59,   -0.55,   -0.35,   0.003
19330128,   -1.40,    0.41,   -0.19,   0.003
19330204,   -5.82,    0.26,    2.38,  -0.007
19330211,    3.44,   -3.17,    3.49,  -0.007
19330218,   -5.64,    0.51,   -1.65,  -0.007
19330225,   -8.94,    1.34,   -4.31,  -0.007
19330303,    3.64,   -5.66,    2.99,   0.011
19330318,   13.08,    5.28,    9.42,   0.011
19330325,   -6.17,   -0.11,   -1.52,   0.011
19330401,   -4.94,   -0.10,   -3.08,   0.024
19330408,    5.49,   -0.28,    2.06,   0.024
19330415,    5.87,    2.57,   -2.55,   0.024
19330422,   15.55,   -3.55,   15.32,   0.024
19330429,    7.08,    6.87,   -2.45,   0.024
19330506,    2.53,    9.33,    0.88,   0.011
19330513,    5.50,    3.88,    2.27,   0.011
19330520,   -0.30,    9.14,    0.79,   0.011
19330527,   11.90,    6.30,   -1.92,   0.011
19330603,    3.31,    3.90,    7.59,   0.006
19330610,    5.63,    3.32,   -2.02,   0.006
19330617,   -5.11,   -4.05,   -0.20,   0.006
19330624,    6.45,    5.16,   -0.31,   0.006
19330701,    5.64,    1.21,    4.14,   0.005
19330708,    6.01,   -1.42,    9.57,   0.005
19330715,    0.15,    2.71,   -3.25,   0.005
19330722,  -18.85,   -4.78,   -5.97,   0.005
19330728,    7.60,    6.25,    7.32,   0.005
19330804,   -2.59,    0.78,   -1.41,   0.006
19330811,    4.88,   -1.72,    0.20,   0.006
19330818,   -0.03,    0.51,   -3.03,   0.006
19330825,    6.40,   -4.23,    4.01,   0.006
19330901,   -0.53,   -0.12,   -1.74,   0.004
19330909,   -4.43,    1.45,   -3.88,   0.004
19330916,    4.11,   -1.19,    1.33,   0.004
19330923,   -6.24,   -0.04,   -5.32,   0.004
19330930,   -5.45,   -0.67,   -4.28,   0.004
19331007,    2.88,    0.30,    0.60,   0.002
19331014,   -2.75,    1.42,   -3.57,   0.002
19331021,  -12.45,   -0.49,   -9.47,   0.002
19331028,    9.57,   -0.48,    9.52,   0.002
19331104,    1.00,   -3.32,    1.64,   0.005
19331111,    3.16,   -1.27,    0.51,   0.005
19331118,    1.66,    0.07,   -1.54,   0.005
19331125,    0.73,   -1.64,    0.76,   0.005
19331202,   -1.15,   -0.96,   -2.41,   0.005
19331209,    3.81,   -0.16,    3.93,   0.005
19331216,   -3.86,    2.88,   -3.68,   0.005
19331223,   -1.09,   -3.54,   -0.63,   0.005
19331230,    2.73,    1.28,   -0.17,   0.005
19340106,   -2.82,    1.99,   -0.62,   0.012
19340113,    3.53,    0.99,    3.08,   0.012
19340120,    8.93,    2.96,   11.32,   0.012
19340127,    0.90,    2.49,   -0.41,   0.012
19340203,    5.45,    1.37,    6.41,   0.006
19340210,   -3.78,    0.82,   -1.88,   0.006
19340217,    4.20,    2.96,    6.18,   0.006
19340224,   -4.80,    1.18,   -4.27,   0.006
19340303,    1.37,    0.79,    0.05,   0.005
19340310,   -2.49,    1.28,   -1.27,   0.005
19340317,   -0.23,    1.68,   -1.51,   0.005
19340324,   -0.03,   -1.16,   -1.66,   0.005
19340331,    0.25,    0.02,    1.21,   0.005
19340407,    1.96,    0.60,    0.59,   0.002
19340414,    0.41,    0.50,   -0.14,   0.002
19340421,    1.94,    1.58,   -0.66,   0.002
19340428,   -3.61,    0.51,   -1.38,   0.002
19340505,   -5.54,   -0.28,   -2.40,   0.002
19340512,   -7.09,   -1.56,   -5.55,   0.002
19340519,    4.92,    0.38,    4.29,   0.002
19340526,   -0.56,   -0.16,   -1.59,   0.002
19340602,   -3.54,    0.39,   -2.35,   0.002
19340609,    8.70,   -2.28,    5.88,   0.002
19340616,    1.63,   -1.82,   -1.13,   0.002
19340623,   -4.64,    0.73,   -2.79,   0.002
19340630,   -0.14,   -0.10,   -1.43,   0.002
19340707,    0.84,   -1.48,   -0.61,   0.002
19340714,    0.59,    1.24,   -3.00,   0.002
19340721,   -5.00,   -3.37,   -3.60,   0.002
19340728,   -7.26,   -3.87,   -4.06,   0.002
19340804,    0.26,    4.62,   -1.63,   0.002
19340811,    2.22,    0.46,   -0.53,   0.002
19340818,    1.17,    0.80,    0.44,   0.002
19340825,    5.40,   -1.20,    4.83,   0.002
19340901,   -3.66,    0.82,   -2.98,   0.001
19340908,   -1.95,   -0.23,   -0.85,   0.001
19340915,   -4.25,   -1.55,   -1.98,   0.001
19340922,    4.87,    0.39,    1.57,   0.001
19340929,    1.34,   -0.32,    0.00,   0.001
19341006,   -0.87,    1.39,   -1.26,   0.003
19341013,    1.38,    1.47,   -0.01,   0.003
19341020,   -0.27,   -0.18,   -1.01,   0.003
19341027,   -2.21,   -0.53,   -1.66,   0.003
19341103,    1.90,    0.76,   -2.68,   0.002
19341110,    4.04,    2.02,    1.64,   0.002
19341117,   -1.38,    3.27,   -3.40,   0.002
19341124,    2.90,    0.16,   -0.31,   0.002
19341201,    1.01,   -0.91,    1.50,   0.003
19341208,   -0.41,    1.43,   -0.45,   0.003
19341215,   -2.23,    0.36,   -0.70,   0.003
19341222,   -1.26,   -0.24,   -2.65,   0.003
19341229,    3.87,    1.03,    1.35,   0.003
19350105,    1.65,    2.15,    1.23,   0.003
19350112,   -3.89,   -0.39,   -1.09,   0.003
19350119,    1.05,    0.81,    0.14,   0.003
19350126,   -0.68,    0.32,   -1.90,   0.003
19350202,   -0.95,   -1.44,   -0.62,   0.004
19350209,    0.07,    0.53,   -1.00,   0.004
19350216,    0.23,    0.95,   -2.69,   0.004
19350223,   -1.27,    0.98,   -2.04,   0.004
19350302,   -0.26,   -1.17,   -2.04,   0.003
19350309,   -3.39,   -0.20,   -2.83,   0.003
19350316,   -2.98,   -2.83,   -3.35,   0.003
19350323,    2.40,    0.59,    2.08,   0.003
19350330,   -0.30,   -1.31,   -0.67,   0.003
19350406,    3.58,   -2.69,    5.22,   0.003
19350413,    2.71,    1.04,    1.01,   0.003
19350420,    2.92,    0.86,   -1.82,   0.003
19350427,    0.15,   -1.13,    0.78,   0.003
19350504,    1.49,   -0.95,   -0.59,   0.003
19350511,    3.15,   -1.34,    0.83,   0.003
19350518,    0.94,    1.42,    1.30,   0.003
19350525,    1.03,   -1.34,    1.94,   0.003
19350601,   -4.40,   -2.58,   -0.78,   0.003
19350608,    4.71,   -1.38,   -0.25,   0.003
19350615,    2.86,    0.31,    0.63,   0.003
19350622,    1.65,   -0.82,   -0.67,   0.003
19350629,   -2.50,    0.61,   -1.06,   0.003
19350706,    2.20,   -0.80,    0.11,   0.003
19350713,    1.05,    1.22,   -0.61,   0.003
19350720,    0.16,    1.22,   -0.04,   0.003
19350727,    2.51,   -0.42,    3.86,   0.003
19350803,    1.84,    0.23,    4.53,   0.003
19350810,    3.16,    1.16,    3.17,   0.003
19350817,    1.56,    2.21,    6.58,   0.003
19350824,   -2.44,    1.86,   -3.86,   0.003
19350831,   -0.05,    0.58,   -1.49,   0.003
19350907,    3.24,   -0.45,    2.47,   0.003
19350914,    0.27,    0.28,   -1.95,   0.003
19350921,   -3.24,    0.22,   -2.13,   0.003
19350928,    2.29,    1.99,   -1.02,   0.003
19351005,   -1.19,    0.49,   -2.95,   0.003
19351011,    2.56,    0.48,    0.57,   0.003
19351019,    2.32,    0.48,   -2.87,   0.003
19351026,    3.94,    1.01,    0.95,   0.003
19351102,    0.52,    0.62,    1.66,   0.006
19351109,    2.21,   -1.35,    0.26,   0.006
19351116,    2.88,    0.40,    3.87,   0.006
19351123,    0.95,    2.91,    4.39,   0.006
19351130,   -2.27,    1.31,    2.15,   0.006
19351207,    2.71,    0.14,    3.69,   0.003
19351214,   -2.17,    0.56,   -3.12,   0.003
19351221,    0.32,   -0.19,   -1.24,   0.003
19351228,    0.62,   -1.16,   -0.08,   0.003
19360104,    4.06,    3.11,    4.30,   0.003
19360111,    1.88,    2.16,    1.45,   0.003
19360118,   -0.30,    0.78,    1.23,   0.003
19360125,    2.08,   -0.66,    2.17,   0.003
19360201,    1.95,    0.51,    2.58,   0.003
19360208,    1.51,    1.30,    1.38,   0.003
19360215,    2.18,   -2.16,    3.31,   0.003
19360221,    0.50,    0.93,    0.88,   0.003
19360229,   -1.49,    1.10,   -0.15,   0.003
19360307,    2.42,    0.82,   -0.82,   0.004
19360314,   -2.45,   -0.22,   -1.53,   0.004
19360321,    1.19,    0.11,   -0.20,   0.004
19360328,   -0.66,   -0.43,    0.95,   0.004
19360404,    3.34,   -0.81,    1.89,   0.004
19360411,   -0.12,   -2.76,    2.28,   0.004
19360418,   -2.90,   -1.06,   -1.09,   0.004
19360425,   -3.08,   -0.55,   -2.55,   0.004
19360502,   -4.62,   -0.01,   -3.03,   0.004
19360509,    1.44,    0.42,    0.03,   0.004
19360516,    2.48,   -0.20,    1.29,   0.004
19360523,   -0.57,   -0.36,    0.03,   0.004
19360529,    1.50,   -0.19,    1.68,   0.004
19360606,   -1.30,   -0.52,   -1.31,   0.008
19360613,    3.12,   -1.36,    0.72,   0.008
19360620,    0.88,   -0.66,   -0.01,   0.008
19360627,    0.19,   -0.44,    0.17,   0.008
19360703,    0.35,   -1.07,   -0.91,   0.003
19360711,    2.74,    0.39,    1.06,   0.003
19360718,    2.24,    0.53,    1.71,   0.003
19360725,    1.18,    0.42,    0.33,   0.003
19360801,   -0.34,    0.19,    0.05,   0.004
19360808,    1.99,   -0.53,    1.29,   0.004
19360815,   -1.58,    0.43,    0.81,   0.004
19360822,   -2.21,    0.93,   -0.99,   0.004
19360829,    2.67,   -0.21,    3.21,   0.004
19360905,    1.33,    1.50,    0.56,   0.003
19360912,    0.06,    0.48,   -0.08,   0.003
19360919,    0.48,    0.43,    0.67,   0.003
19360926,   -0.39,    0.05,   -0.64,   0.003
19361003,    2.52,    1.38,    1.26,   0.005
19361010,    2.49,   -0.62,    0.31,   0.005
19361017,    0.91,    0.12,    1.28,   0.005
19361024,    0.15,   -1.11,   -0.72,   0.005
19361031,    0.69,   -1.21,    0.28,   0.005
19361107,    3.21,    2.66,   -0.78,   0.002
19361114,   -1.93,    2.70,   -2.72,   0.002
