This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202007 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
197210,    0.52,   -2.53,    1.37,   -0.12,   -0.05,    0.40
197211,    4.60,   -0.53,    4.76,   -1.98,    3.35,    0.37
197212,    0.62,   -1.82,   -2.27,    2.60,   -2.20,    0.37
197301,   -3.29,   -2.79,    2.68,    0.40,    0.92,    0.44
197302,   -4.85,   -4.01,    1.70,   -0.34,   -0.01,    0.41
197303,   -1.30,   -2.31,    2.78,   -1.07,    0.73,    0.46
197304,   -5.68,   -3.00,    5.69,   -1.63,    2.71,    0.52
197305,   -2.94,   -5.98,    0.21,    2.02,   -1.79,    0.51
197306,   -1.56,   -2.54,    1.44,   -0.27,    0.22,    0.51
197307,    5.05,    7.26,   -5.35,   -0.10,   -3.46,    0.64
197308,   -3.82,   -1.75,    1.13,   -1.36,    1.20,    0.70
197309,    4.75,    3.54,    2.19,   -2.30,    1.82,    0.68
197310,   -0.83,   -0.27,    1.75,   -1.94,    2.59,    0.65
197311,  -12.75,   -7.26,    4.09,   -2.71,    1.50,    0.56
197312,    0.61,   -4.60,    4.10,   -2.80,    2.30,    0.64
197401,   -0.17,   10.41,    5.98,   -3.01,    4.46,    0.63
197402,   -0.47,    0.16,    2.56,   -1.93,    2.67,    0.58
197403,   -2.81,    2.64,   -0.11,    2.82,    0.36,    0.56
197404,   -5.29,   -0.63,    1.03,    2.86,    1.84,    0.75
197405,   -4.68,   -3.16,   -2.07,    5.08,   -0.01,    0.75
197406,   -2.83,   -0.02,    0.77,    0.62,    3.05,    0.60
197407,   -8.05,    1.99,    5.14,   -3.26,    4.58,    0.70
197408,   -9.35,    0.30,    2.50,   -0.26,    2.55,    0.60
197409,  -11.77,    1.46,    5.49,   -4.28,    5.91,    0.81
197410,   16.10,   -6.85,   -9.99,   -0.03,   -2.94,    0.51
197411,   -4.51,   -1.44,   -0.16,   -3.39,    2.95,    0.54
197412,   -3.45,   -4.36,    0.00,   -0.65,    3.23,    0.70
197501,   13.66,   12.79,    8.44,   -0.89,   -0.86,    0.58
197502,    5.56,   -0.65,   -4.56,    1.15,   -2.14,    0.43
197503,    2.66,    3.98,    2.49,    1.23,   -1.25,    0.41
197504,    4.23,   -0.59,   -1.11,    1.37,   -1.35,    0.44
197505,    5.19,    2.89,   -4.02,   -1.05,   -0.61,    0.44
197506,    4.83,    1.32,    1.32,   -2.62,    1.07,    0.41
197507,   -6.59,    3.42,    1.70,    0.43,    1.19,    0.48
197508,   -2.85,   -2.79,   -0.90,    1.03,   -0.89,    0.48
197509,   -4.26,    0.02,    0.34,    0.53,    0.50,    0.53
197510,    5.31,   -4.23,    0.30,   -0.46,    2.27,    0.56
197511,    2.64,   -1.07,    1.99,   -0.62,    1.71,    0.41
197512,   -1.60,   -0.03,    1.75,   -0.12,    0.60,    0.48
197601,   12.16,    6.35,    8.58,   -1.90,    2.36,    0.47
197602,    0.32,    7.97,    5.78,   -2.58,    3.84,    0.34
197603,    2.32,   -1.34,   -0.04,   -0.38,    1.09,    0.40
197604,   -1.49,    0.14,   -0.06,    0.39,   -1.10,    0.42
197605,   -1.34,   -1.12,   -1.32,    2.47,   -1.42,    0.37
197606,    4.05,   -1.13,    0.68,   -0.59,    0.93,    0.43
197607,   -1.07,    0.62,    1.74,   -1.09,    0.29,    0.47
197608,   -0.56,   -2.03,    0.79,   -0.46,   -0.59,    0.42
197609,    2.07,    0.12,   -0.29,    0.99,   -1.14,    0.44
197610,   -2.42,    0.16,   -0.12,   -0.22,   -0.32,    0.41
197611,    0.36,    2.66,    1.52,   -1.39,    0.07,    0.40
197612,    5.65,    3.60,    2.21,   -0.62,    2.23,    0.40
197701,   -4.05,    5.90,    4.26,   -0.53,    1.93,    0.36
197702,   -1.94,    1.11,    0.50,   -0.13,   -0.19,    0.35
197703,   -1.37,    1.29,    1.02,   -0.32,   -0.09,    0.38
197704,    0.15,    0.61,    3.47,   -2.05,    1.14,    0.38
197705,   -1.45,    1.28,    0.84,    0.33,    0.11,    0.37
197706,    4.71,    2.07,   -0.64,    0.88,   -1.22,    0.40
197707,   -1.69,    1.82,   -0.59,    0.83,    0.01,    0.42
197708,   -1.75,    0.89,   -2.79,    0.96,   -0.62,    0.44
197709,   -0.27,    1.56,   -0.49,    1.23,   -0.84,    0.43
197710,   -4.38,    1.50,    1.72,   -0.30,   -0.46,    0.49
197711,    4.00,    3.62,    0.31,   -0.05,    0.65,    0.50
197712,    0.27,    1.60,   -0.37,    0.94,   -0.65,    0.49
197801,   -6.01,    2.69,    3.31,   -1.67,    1.53,    0.49
197802,   -1.38,    3.67,    0.76,    0.36,    1.04,    0.46
197803,    2.85,    3.72,    1.20,   -0.60,    1.88,    0.53
197804,    7.88,   -0.31,   -3.54,    2.82,   -1.35,    0.54
197805,    1.76,    4.56,   -0.62,    0.27,    0.36,    0.51
197806,   -1.69,    1.59,    0.59,   -1.44,   -0.02,    0.54
197807,    5.11,    0.15,   -1.11,    1.58,   -0.78,    0.56
197808,    3.75,    4.93,   -0.46,    1.39,    0.42,    0.56
197809,   -1.43,   -0.28,    1.87,   -0.68,    1.80,    0.62
197810,  -11.91,  -10.05,    1.36,    0.17,    1.03,    0.68
197811,    2.71,    2.85,   -2.22,    1.09,   -1.21,    0.70
197812,    0.88,    1.07,   -2.19,    1.96,   -1.38,    0.78
197901,    4.23,    3.84,    2.27,   -2.50,    1.57,    0.77
197902,   -3.56,    0.55,    1.20,   -1.14,    1.04,    0.73
197903,    5.68,    3.16,   -0.67,    0.62,    0.28,    0.81
197904,   -0.06,    2.40,    1.05,    1.05,    0.21,    0.80
197905,   -2.21,    0.15,    1.32,   -1.39,   -0.35,    0.82
197906,    3.85,    0.99,    1.48,   -1.61,   -0.45,    0.81
197907,    0.82,    1.24,    1.70,   -0.20,    0.59,    0.77
197908,    5.53,    1.97,   -1.55,    1.58,   -1.45,    0.77
197909,   -0.82,   -0.27,   -0.87,    1.02,    0.54,    0.83
197910,   -8.10,   -3.46,   -1.86,    1.04,    0.24,    0.87
197911,    5.21,    2.44,   -3.25,    0.11,   -2.00,    0.99
197912,    1.79,    4.34,   -1.98,   -0.67,   -1.01,    0.95
198001,    5.51,    1.90,    1.80,   -1.67,    2.01,    0.80
198002,   -1.22,   -1.49,    0.62,    0.11,    3.03,    0.89
198003,  -12.90,   -6.97,   -1.06,    1.38,   -1.34,    1.21
198004,    3.97,    1.00,    1.06,   -2.09,    0.54,    1.26
198005,    5.26,    2.10,    0.39,    0.31,   -0.47,    0.81
198006,    3.06,    1.47,   -0.89,   -0.09,   -0.95,    0.61
198007,    6.49,    3.93,   -6.30,    3.94,   -2.46,    0.53
198008,    1.80,    4.26,   -2.64,    2.10,   -0.80,    0.64
198009,    2.19,    0.58,   -4.79,    2.03,   -2.81,    0.75
198010,    1.06,    2.33,   -2.74,    1.67,   -1.22,    0.95
198011,    9.59,   -3.40,   -8.35,    4.53,   -5.74,    0.96
198012,   -4.52,   -0.31,    2.68,   -1.25,    1.18,    1.31
198101,   -5.04,    3.37,    6.84,   -3.54,    4.35,    1.04
198102,    0.57,   -0.49,    0.97,    0.19,    2.25,    1.07
198103,    3.56,    3.08,    0.67,   -2.34,   -0.53,    1.21
198104,   -2.11,    4.60,    2.26,    0.82,    1.20,    1.08
198105,    0.11,    2.45,   -0.43,    0.33,   -1.60,    1.15
198106,   -2.36,   -0.97,    5.13,   -1.35,    2.68,    1.35
198107,   -1.54,   -1.97,   -0.66,    1.08,   -3.04,    1.24
198108,   -7.04,   -1.81,    4.84,   -0.25,    1.46,    1.28
198109,   -7.17,   -2.49,    5.20,   -0.02,    2.79,    1.24
198110,    4.92,    2.24,   -4.21,    3.29,   -2.76,    1.21
198111,    3.36,   -1.38,    1.90,    0.10,    0.63,    1.07
198112,   -3.65,    1.19,    0.74,    0.19,    2.41,    0.87
198201,   -3.24,   -1.18,    3.17,   -1.52,    2.08,    0.80
198202,   -5.86,    0.37,    6.10,   -3.38,    4.57,    0.92
198203,   -1.87,    0.00,    3.78,   -1.44,    2.37,    0.98
198204,    3.27,    1.15,   -2.78,    1.51,   -0.15,    1.13
198205,   -3.99,    0.56,    1.81,    0.91,   -0.09,    1.06
198206,   -3.09,   -0.51,    1.54,    0.03,    2.72,    0.96
198207,   -3.19,    0.95,    0.15,    1.03,    1.54,    1.05
198208,   11.14,   -4.29,    1.16,   -1.96,    0.18,    0.76
198209,    1.29,    2.57,    0.34,    2.12,   -0.04,    0.51
198210,   11.30,    1.92,   -3.68,    0.30,   -0.37,    0.59
198211,    4.67,    4.53,   -1.96,   -1.05,    0.32,    0.63
198212,    0.55,   -0.01,    0.01,   -0.07,    1.03,    0.67
198301,    3.60,    3.28,   -0.86,   -1.50,   -0.46,    0.69
198302,    2.59,    2.90,    0.67,   -0.57,    1.02,    0.62
198303,    2.82,    1.42,    2.07,   -0.07,    2.81,    0.63
198304,    6.67,    0.49,    0.60,   -0.16,    1.60,    0.71
198305,    0.52,    6.22,   -1.40,   -1.85,   -1.53,    0.69
198306,    3.07,    1.15,   -3.87,    2.52,   -0.89,    0.67
198307,   -4.07,    0.98,    5.62,   -0.03,    2.84,    0.74
198308,   -0.50,   -4.34,    5.55,    0.45,    1.95,    0.76
198309,    0.91,    0.25,    1.09,    1.21,    0.59,    0.76
198310,   -3.44,   -3.82,    5.06,   -0.81,    2.97,    0.76
198311,    2.16,    1.88,   -0.62,   -0.48,    0.64,    0.70
198312,   -1.78,   -0.47,    1.67,    1.59,    1.21,    0.73
198401,   -1.92,   -0.07,    7.63,   -0.93,    3.00,    0.76
198402,   -4.82,   -1.62,    3.36,    0.82,    1.57,    0.71
198403,    0.63,   -0.28,    0.48,   -0.93,    1.09,    0.73
198404,   -0.51,   -1.01,    1.29,    3.27,    0.76,    0.81
198405,   -5.97,    0.08,    0.26,    2.32,   -0.50,    0.78
198406,    1.82,    0.07,   -2.60,    3.08,   -1.51,    0.75
198407,   -2.74,   -2.22,    0.49,    3.69,   -2.17,    0.82
198408,   10.28,   -0.30,   -1.85,   -0.89,   -0.81,    0.83
198409,   -0.80,    0.00,    5.32,    1.40,    2.53,    0.86
198410,   -0.84,   -1.43,    0.51,    1.17,   -1.16,    1.00
198411,   -1.76,   -0.98,    4.08,    0.81,    2.08,    0.73
198412,    1.84,   -0.69,   -0.17,    1.21,   -1.26,    0.64
198501,    7.99,    3.49,   -5.43,   -0.83,   -3.36,    0.65
198502,    1.22,    1.00,   -0.12,    1.26,    1.03,    0.58
198503,   -0.84,   -1.48,    4.10,    1.18,    2.94,    0.62
198504,   -0.96,   -0.10,    3.73,    1.59,    0.71,    0.72
198505,    5.09,   -2.33,   -0.86,    1.30,   -1.39,    0.66
198506,    1.27,    0.31,    0.40,    1.73,   -0.59,    0.55
198507,   -0.74,    2.89,   -1.63,   -0.45,   -0.31,    0.62
198508,   -1.02,   -0.32,    2.28,   -0.04,    1.88,    0.55
198509,   -4.54,   -1.81,    1.32,    1.16,    1.61,    0.60
198510,    4.02,   -1.55,    0.78,    0.92,   -1.11,    0.65
198511,    6.48,    0.00,   -2.87,    0.29,   -2.33,    0.61
198512,    3.88,   -0.39,   -1.53,    0.97,   -1.80,    0.65
198601,    0.65,    1.01,    0.53,   -2.02,   -2.05,    0.56
198602,    7.13,   -0.76,   -0.94,    1.15,   -1.39,    0.53
198603,    4.88,   -0.57,   -0.44,    1.12,    0.99,    0.60
198604,   -1.31,    2.92,   -2.85,    2.91,    0.02,    0.52
198605,    4.62,   -1.26,   -0.11,    2.08,    1.11,    0.49
198606,    1.03,   -0.87,    1.40,    1.83,    0.87,    0.52
198607,   -6.45,   -3.54,    4.78,   -0.57,    0.61,    0.52
198608,    6.07,   -4.36,    3.52,   -1.74,    3.24,    0.46
198609,   -8.60,    1.97,    3.19,   -0.05,    3.62,    0.45
198610,    4.66,   -2.33,   -1.32,    0.13,    0.89,    0.46
198611,    1.17,   -1.88,   -0.06,    1.12,    0.61,    0.39
198612,   -3.27,    0.07,    0.37,    0.83,   -0.03,    0.49
198701,   12.47,   -1.51,   -3.18,    0.20,   -1.09,    0.42
198702,    4.39,    3.41,   -5.99,   -0.90,   -2.76,    0.43
198703,    1.64,    0.21,    1.66,    1.36,    4.03,    0.47
198704,   -2.11,   -1.55,   -0.33,   -0.46,    1.22,    0.44
198705,    0.11,   -0.59,    0.13,    0.52,    1.32,    0.38
198706,    3.94,   -2.29,    1.07,    1.73,    0.83,    0.48
198707,    3.85,   -1.11,    0.66,   -0.50,    1.56,    0.46
198708,    3.52,   -0.90,   -0.90,    2.03,   -1.59,    0.47
198709,   -2.59,    0.37,    0.28,   -0.90,    1.89,    0.45
198710,  -23.24,   -8.09,    4.23,    2.01,    2.39,    0.60
198711,   -7.77,    2.83,    3.14,   -1.92,    0.71,    0.35
198712,    6.81,    0.09,   -4.49,    3.01,   -2.36,    0.39
198801,    4.21,   -0.54,    5.08,   -1.12,    2.09,    0.29
198802,    4.75,    3.32,   -1.65,    1.56,   -0.11,    0.46
198803,   -2.27,    6.26,    0.74,   -0.16,    1.91,    0.44
198804,    0.56,    1.12,    1.69,   -0.23,    1.90,    0.46
198805,   -0.29,   -2.59,    2.30,   -0.70,    0.38,    0.51
198806,    4.79,    2.19,   -1.07,    1.42,   -3.25,    0.49
198807,   -1.25,   -0.17,    2.27,   -0.59,    1.45,    0.51
198808,   -3.31,   -0.02,    2.03,   -0.76,    1.74,    0.59
198809,    3.30,   -1.31,   -0.68,    1.72,   -0.48,    0.62
198810,    1.15,   -2.95,    1.71,    1.40,    1.04,    0.61
198811,   -2.29,   -1.66,    1.24,   -0.31,    1.60,    0.57
198812,    1.49,    2.01,   -1.55,    0.64,   -0.37,    0.63
198901,    6.10,   -2.23,    0.51,   -1.03,    0.16,    0.55
198902,   -2.25,    2.67,    0.87,   -0.82,    1.89,    0.61
198903,    1.57,    0.76,    0.46,    0.01,    0.79,    0.67
198904,    4.33,   -0.70,   -1.45,    0.76,   -0.54,    0.67
198905,    3.35,   -0.01,   -0.82,    0.49,   -0.04,    0.79
198906,   -1.35,   -1.08,    2.19,    0.24,    1.52,    0.71
198907,    7.20,   -4.04,   -2.84,    1.99,   -0.62,    0.70
198908,    1.44,    0.43,    0.72,    0.41,   -0.50,    0.74
198909,   -0.76,    0.46,   -1.34,    1.40,    0.59,    0.65
198910,   -3.67,   -3.33,   -1.03,    0.00,    0.02,    0.68
198911,    1.03,   -1.30,   -1.12,   -0.91,    1.47,    0.69
198912,    1.16,   -2.30,    0.28,   -0.10,    1.45,    0.61
199001,   -7.85,   -1.33,    0.87,   -1.13,    1.32,    0.57
199002,    1.11,    1.18,    0.61,   -0.19,   -0.64,    0.57
199003,    1.83,    1.64,   -2.90,    2.15,   -1.02,    0.64
199004,   -3.36,   -0.40,   -2.55,    1.72,   -0.98,    0.69
199005,    8.42,   -2.40,   -3.74,    1.65,   -1.57,    0.68
199006,   -1.09,    1.38,   -1.94,   -1.00,   -0.34,    0.63
199007,   -1.90,   -3.27,   -0.01,   -0.27,    3.10,    0.68
199008,  -10.15,   -3.85,    1.58,   -0.43,    2.99,    0.66
199009,   -6.12,   -3.78,    0.73,   -0.16,    3.71,    0.60
199010,   -1.92,   -5.07,    0.22,    2.87,   -0.49,    0.68
199011,    6.35,   -0.05,   -3.16,    0.81,   -4.75,    0.57
199012,    2.46,    0.61,   -1.54,    2.86,   -2.00,    0.60
199101,    4.69,    3.86,   -1.84,    1.55,   -4.08,    0.52
199102,    7.19,    3.96,   -0.54,   -0.27,   -0.16,    0.48
199103,    2.65,    3.82,   -1.23,   -0.39,   -0.99,    0.44
199104,   -0.28,    0.33,    1.42,    0.53,    0.71,    0.53
199105,    3.65,    0.17,   -0.57,    2.11,   -2.45,    0.47
199106,   -4.94,    0.17,    1.21,    1.75,    0.63,    0.42
199107,    4.24,   -0.96,   -1.25,    1.61,   -1.41,    0.49
199108,    2.32,    1.44,   -0.78,    0.88,   -0.55,    0.46
199109,   -1.59,    1.55,   -1.00,   -1.81,    0.16,    0.46
199110,    1.29,    0.95,   -0.43,   -1.73,   -0.29,    0.42
199111,   -4.19,   -0.87,   -1.93,    1.08,    0.12,    0.39
199112,   10.84,   -2.42,   -4.03,    3.58,   -3.12,    0.38
199201,   -0.59,    9.26,    4.51,   -1.33,    3.15,    0.34
199202,    1.09,    1.35,    6.37,    0.09,    2.04,    0.28
199203,   -2.66,   -0.90,    3.65,   -0.08,    1.93,    0.34
199204,    1.07,   -5.73,    4.31,    1.71,    2.22,    0.32
199205,    0.30,    0.21,    1.28,   -0.96,    0.43,    0.28
199206,   -2.34,   -2.71,    3.40,   -0.03,    1.07,    0.32
199207,    3.77,   -0.61,   -0.53,    1.57,   -0.72,    0.31
199208,   -2.38,   -0.42,   -1.03,    3.79,   -1.62,    0.26
199209,    1.19,    0.48,   -0.21,    1.53,   -0.50,    0.26
199210,    1.02,    2.02,   -2.10,    1.31,   -0.80,    0.23
199211,    4.13,    3.91,   -1.48,   -0.84,   -1.91,    0.23
199212,    1.53,    1.64,    2.52,   -0.44,    0.75,    0.28
199301,    0.93,    2.09,    5.87,   -1.77,    2.78,    0.23
199302,    0.12,   -3.42,    6.42,   -0.50,    4.05,    0.22
199303,    2.30,    0.05,    1.22,   -0.29,    0.92,    0.25
199304,   -3.05,   -0.86,    2.61,   -3.69,    1.52,    0.24
199305,    2.89,    1.88,   -3.41,   -0.01,   -1.18,    0.22
199306,    0.31,    0.11,    2.62,   -1.06,    1.09,    0.25
199307,   -0.34,    0.90,    3.25,   -2.17,    2.03,    0.24
199308,    3.71,    0.24,   -0.45,   -1.15,   -0.04,    0.25
199309,   -0.12,    3.06,   -0.44,    0.77,   -0.08,    0.26
199310,    1.41,    1.62,   -1.54,   -0.10,    0.59,    0.22
199311,   -1.89,   -1.42,   -0.27,    1.55,   -0.96,    0.25
199312,    1.65,    1.37,    0.56,    0.71,   -0.32,    0.23
199401,    2.87,   -0.14,    2.10,   -2.30,    1.45,    0.25
199402,   -2.55,    2.65,   -1.46,    2.45,   -1.03,    0.21
199403,   -4.78,   -1.02,    1.29,    0.77,    1.27,    0.27
199404,    0.68,   -1.04,    1.67,    1.01,    1.12,    0.27
199405,    0.58,   -2.46,    0.20,    0.90,    0.70,    0.31
199406,   -3.03,   -0.52,    1.69,    1.16,    1.53,    0.31
199407,    2.82,   -1.83,    0.62,   -0.89,    0.11,    0.28
199408,    4.01,    1.29,   -2.80,    0.87,   -1.45,    0.37
199409,   -2.31,    2.67,   -1.91,    0.60,    0.93,    0.37
199410,    1.34,   -2.30,   -1.74,    0.58,   -0.62,    0.38
199411,   -4.04,    0.11,   -0.94,    0.81,   -0.44,    0.37
199412,    0.86,   -0.02,    0.54,    0.42,    0.31,    0.44
199501,    1.80,   -2.76,    0.81,    0.62,   -0.83,    0.42
199502,    3.63,   -0.55,    1.09,    0.57,   -0.33,    0.40
199503,    2.19,   -0.72,   -1.09,   -0.33,    0.16,    0.46
199504,    2.11,   -0.34,    2.27,    0.05,    1.00,    0.44
199505,    2.90,   -2.06,    1.72,    0.46,    0.09,    0.54
199506,    2.72,    2.95,   -2.28,   -0.48,   -2.44,    0.47
199507,    3.72,    2.10,   -1.67,    0.45,   -1.71,    0.45
199508,    0.55,    1.83,    2.71,   -1.36,    1.64,    0.47
199509,    3.35,   -1.88,   -0.75,    1.33,    0.36,    0.43
199510,   -1.52,   -4.05,   -0.73,    2.14,   -0.03,    0.47
199511,    3.96,   -1.17,    0.94,   -0.82,    1.19,    0.42
199512,    1.03,    0.67,    0.87,   -1.33,    2.99,    0.49
199601,    2.26,   -2.59,    0.31,   -0.64,    2.27,    0.43
199602,    1.33,    1.82,   -1.42,    0.40,   -1.80,    0.39
